Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Categories,Images
simple,LAP001,ProBook X1 Carbon,1,0,visible,"14-inch business laptop","Powerful business laptop with 16GB RAM and 512GB SSD.",1,50,1299.99,"Electronics > Laptops",https://images.unsplash.com/photo-1517336710212-8c9833752cc7?auto=format&fit=crop&w=800&q=80
simple,LAP002,UltraLite 13,1,0,visible,"13-inch lightweight laptop","Perfect for travel and students. High portability.",1,30,899.99,"Electronics > Laptops",https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?auto=format&fit=crop&w=800&q=80
simple,LAP003,Gaming Beast V2,1,1,visible,"High-end gaming laptop","RTX 4080, 32GB RAM, 1TB NVMe. Ready for anything.",1,15,2499.99,"Electronics > Laptops",https://images.unsplash.com/photo-1531297484001-80022131f5a1?auto=format&fit=crop&w=800&q=80
simple,LAP004,Creative Pad 16,1,0,visible,"Laptop for designers","4K OLED screen, color accurate, 32GB RAM.",1,20,1899.99,"Electronics > Laptops",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?auto=format&fit=crop&w=800&q=80
simple,LAP005,EduBook 11,1,0,visible,"Student laptop","Rugged design, long battery life for education.",1,100,299.99,"Electronics > Laptops",https://images.unsplash.com/photo-1517336710212-8c9833752cc7?auto=format&fit=crop&w=800&q=80
simple,LAP006,WorkStation Z8,1,0,visible,"Professional workstation","Xeon processor, ECC memory, professional graphics.",1,10,3499.99,"Electronics > Laptops",https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?auto=format&fit=crop&w=800&q=80
simple,LAP007,EcoBook Eco,1,0,visible,"Sustainable laptop","Made from recycled materials. Energy efficient.",1,40,749.99,"Electronics > Laptops",https://images.unsplash.com/photo-1531297484001-80022131f5a1?auto=format&fit=crop&w=800&q=80
simple,LAP008,SlimBlade 14,1,0,visible,"Ultra-slim laptop","Premium aluminum chassis, thin bezel display.",1,25,1199.99,"Electronics > Laptops",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?auto=format&fit=crop&w=800&q=80
simple,LAP009,PowerTab Pro,1,0,visible,"2-in-1 laptop","Detachable keyboard, stylus included.",1,35,999.99,"Electronics > Laptops",https://images.unsplash.com/photo-1517336710212-8c9833752cc7?auto=format&fit=crop&w=800&q=80
simple,LAP010,ValueBook 15,1,0,visible,"Entry-level laptop","Reliable performance for everyday tasks.",1,60,499.99,"Electronics > Laptops",https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?auto=format&fit=crop&w=800&q=80
simple,LAP011,Titan Pro 17,1,0,visible,"17-inch desktop replacement","Large screen, full keyboard with numpad.",1,12,1599.99,"Electronics > Laptops",https://images.unsplash.com/photo-1531297484001-80022131f5a1?auto=format&fit=crop&w=800&q=80
simple,LAP012,MiniLap 10,1,0,visible,"Netbook style laptop","Compact and budget friendly.",1,80,249.99,"Electronics > Laptops",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?auto=format&fit=crop&w=800&q=80
simple,LAP013,DevBox 15,1,0,visible,"Laptop for developers","Pre-configured for coding, 64GB RAM option.",1,18,2199.99,"Electronics > Laptops",https://images.unsplash.com/photo-1517336710212-8c9833752cc7?auto=format&fit=crop&w=800&q=80
simple,LAP014,Streamer Pro 15,1,0,visible,"Streaming laptop","Enhanced webcam and microphone for creators.",1,22,1399.99,"Electronics > Laptops",https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?auto=format&fit=crop&w=800&q=80
simple,LAP015,ToughBook Extreme,1,0,visible,"Ruggedized laptop","IP65 rated, drop proof and water resistant.",1,8,2999.99,"Electronics > Laptops",https://images.unsplash.com/photo-1531297484001-80022131f5a1?auto=format&fit=crop&w=800&q=80
simple,LAP016,OfficeLink 14,1,0,visible,"Office laptop","Optimized for productivity apps and Zoom.",1,55,699.99,"Electronics > Laptops",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?auto=format&fit=crop&w=800&q=80
