Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Categories,Images
simple,LAP001,ProBook X1 Carbon,1,0,visible,"14-inch business laptop","Powerful business laptop with 16GB RAM and 512GB SSD.",1,50,1299.99,"Electronics > Laptops",
simple,LAP002,UltraLite 13,1,0,visible,"13-inch lightweight laptop","Perfect for travel and students. High portability.",1,30,899.99,"Electronics > Laptops",
simple,LAP003,Gaming Beast V2,1,1,visible,"High-end gaming laptop","RTX 4080, 32GB RAM, 1TB NVMe. Ready for anything.",1,15,2499.99,"Electronics > Laptops",
simple,LAP004,Creative Pad 16,1,0,visible,"Laptop for designers","4K OLED screen, color accurate, 32GB RAM.",1,20,1899.99,"Electronics > Laptops",
simple,LAP005,EduBook 11,1,0,visible,"Student laptop","Rugged design, long battery life for education.",1,100,299.99,"Electronics > Laptops",
simple,LAP006,WorkStation Z8,1,0,visible,"Professional workstation","Xeon processor, ECC memory, professional graphics.",1,10,3499.99,"Electronics > Laptops",
simple,LAP007,EcoBook Eco,1,0,visible,"Sustainable laptop","Made from recycled materials. Energy efficient.",1,40,749.99,"Electronics > Laptops",
simple,LAP008,SlimBlade 14,1,0,visible,"Ultra-slim laptop","Premium aluminum chassis, thin bezel display.",1,25,1199.99,"Electronics > Laptops",
simple,LAP009,PowerTab Pro,1,0,visible,"2-in-1 laptop","Detachable keyboard, stylus included.",1,35,999.99,"Electronics > Laptops",
simple,LAP010,ValueBook 15,1,0,visible,"Entry-level laptop","Reliable performance for everyday tasks.",1,60,499.99,"Electronics > Laptops",
simple,LAP011,Titan Pro 17,1,0,visible,"17-inch desktop replacement","Large screen, full keyboard with numpad.",1,12,1599.99,"Electronics > Laptops",
simple,LAP012,MiniLap 10,1,0,visible,"Netbook style laptop","Compact and budget friendly.",1,80,249.99,"Electronics > Laptops",
simple,LAP013,DevBox 15,1,0,visible,"Laptop for developers","Pre-configured for coding, 64GB RAM option.",1,18,2199.99,"Electronics > Laptops",
simple,LAP014,Streamer Pro 15,1,0,visible,"Streaming laptop","Enhanced webcam and microphone for creators.",1,22,1399.99,"Electronics > Laptops",
simple,LAP015,ToughBook Extreme,1,0,visible,"Ruggedized laptop","IP65 rated, drop proof and water resistant.",1,8,2999.99,"Electronics > Laptops",
simple,LAP016,OfficeLink 14,1,0,visible,"Office laptop","Optimized for productivity apps and Zoom.",1,55,699.99,"Electronics > Laptops",
simple,LAP017,CloudBook 14,1,0,visible,"ChromeOS laptop","Fast, secure, and cloud-first.",1,90,399.99,"Electronics > Laptops",
simple,LAP018,Alpha Gaming 15,1,0,visible,"Budget gaming laptop","GTX 1650, 8GB RAM, 144Hz screen.",1,30,799.99,"Electronics > Laptops",
simple,LAP019,PixelBook 13,1,0,visible,"High-res display laptop","3000x2000 resolution, perfect for photography.",1,15,1499.99,"Electronics > Laptops",
simple,LAP020,ZenBook Air,1,0,visible,"Silent laptop","Fanless design, completely silent operation.",1,28,1099.99,"Electronics > Laptops",
simple,PHO001,Nexus 10,1,1,visible,"Flagship smartphone","The latest flagship with top-tier camera system.",1,100,999.99,"Electronics > Smartphones",
simple,PHO002,Galaxy Elite S24,1,0,visible,"Premium Android phone","AMOLED display, 120Hz, incredible zoom.",1,80,1099.99,"Electronics > Smartphones",
simple,PHO003,iPhone Pro Max,1,0,visible,"Ultimate iOS experience","Titanium frame, A17 chip, professional video.",1,50,1199.99,"Electronics > Smartphones",
simple,PHO004,Pixel Smart 8,1,0,visible,"AI-powered phone","Best-in-class AI features and clean Android.",1,60,799.99,"Electronics > Smartphones",
simple,PHO005,LitePhone 5G,1,0,visible,"Budget 5G phone","Fast connectivity at an affordable price.",1,150,299.99,"Electronics > Smartphones",
simple,PHO006,Rugged Phone X,1,0,visible,"Indestructible phone","Built for construction sites and outdoor adventures.",1,40,499.99,"Electronics > Smartphones",
simple,PHO007,Flip Vision 3,1,0,visible,"Foldable flip phone","Compact design that opens into a full screen.",1,30,899.99,"Electronics > Smartphones",
simple,PHO008,Note Ultra 5,1,0,visible,"Phablet with stylus","Large screen for productivity and creative work.",1,25,949.99,"Electronics > Smartphones",
simple,PHO009,Camera Pro Plus,1,0,visible,"Photography centric phone","1-inch sensor, manual controls, RAW support.",1,20,1299.99,"Electronics > Smartphones",
simple,PHO010,Gaming Phone G1,1,0,visible,"Mobile gaming powerhouse","Built-in cooling fan, shoulder triggers.",1,15,849.99,"Electronics > Smartphones",
simple,PHO011,Senior Phone Ease,1,0,visible,"Easy to use phone","Large buttons, simplified interface.",1,120,149.99,"Electronics > Smartphones",
simple,PHO012,Mini Compact 4,1,0,visible,"Small smartphone","Fits easily in one hand and pocket.",1,70,599.99,"Electronics > Smartphones",
simple,PHO013,EcoPhone Bio,1,0,visible,"Environmentally friendly phone","Modular design, easy to repair, recycled parts.",1,45,649.99,"Electronics > Smartphones",
simple,PHO014,StreamPhone Z,1,0,visible,"Influencer phone","Front facing flash, stabilized video.",1,35,749.99,"Electronics > Smartphones",
simple,PHO015,SecureLink Pro,1,0,visible,"Privacy focused phone","Hardware kill switches for camera and mic.",1,10,999.99,"Electronics > Smartphones",
simple,PHO016,WorkPhone 10,1,0,visible,"Enterprise smartphone","MDM ready, enhanced security features.",1,85,699.99,"Electronics > Smartphones",
simple,PHO017,ValueSmart 7,1,0,visible,"Essential smartphone","Everything you need, nothing you don't.",1,200,199.99,"Electronics > Smartphones",
simple,PHO018,Zoom Master 5,1,0,visible,"Super zoom phone","100x digital zoom capabilities.",1,18,899.99,"Electronics > Smartphones",
simple,PHO019,Swift Pro 12,1,0,visible,"Fast charging phone","0 to 100% in 15 minutes.",1,40,799.99,"Electronics > Smartphones",
simple,PHO020,DualScreen Max,1,0,visible,"Dual screen phone","Multi-task like a pro with two displays.",1,12,1099.99,"Electronics > Smartphones",
simple,AUD001,SonicPro Wireless,1,1,visible,"ANC Headphones","Industry leading noise cancellation and comfort.",1,100,349.99,"Electronics > Audio",
simple,AUD002,BassBoom 500,1,0,visible,"Over-ear headphones","Powerful bass for EDM and Hip-Hop lovers.",1,150,149.99,"Electronics > Audio",
simple,AUD003,Studio Monitor X,1,0,visible,"Reference headphones","Flat response for professional audio mixing.",1,40,249.99,"Electronics > Audio",
simple,AUD004,Buds Elite V3,1,0,visible,"True wireless earbuds","Compact case, wireless charging, great sound.",1,200,199.99,"Electronics > Audio",
simple,AUD005,SportFit Air,1,0,visible,"Workout earbuds","IPX7 waterproof, secure ear-hook design.",1,180,99.99,"Electronics > Audio",
simple,AUD006,Retro Hi-Fi,1,0,visible,"Audiophile headphones","Open-back design, premium wood finish.",1,25,499.99,"Electronics > Audio",
simple,AUD007,Gamer Headset Z,1,0,visible,"7.1 Surround headset","Spatial audio, clear boom mic, RGB lighting.",1,120,129.99,"Electronics > Audio",
simple,AUD008,Travel ANC Lite,1,0,visible,"Folding ANC headphones","Perfect for commuters and frequent flyers.",1,90,179.99,"Electronics > Audio",
simple,AUD009,PodCast Mic Pro,1,0,visible,"USB Condenser mic","Professional sound for streamers and podcasters.",1,60,159.99,"Electronics > Audio",
simple,AUD010,BoomBox Portable,1,0,visible,"Bluetooth speaker","Loud, waterproof, and 20-hour battery life.",1,140,119.99,"Electronics > Audio",
simple,AUD011,Home Theater Bar,1,0,visible,"Soundbar with sub","Transform your TV experience with Dolby Atmos.",1,35,399.99,"Electronics > Audio",
simple,AUD012,Vinyl Player Pro,1,0,visible,"Turntable with USB","Play your records and digitize them easily.",1,30,299.99,"Electronics > Audio",
simple,AUD013,Kids Safe Buds,1,0,visible,"Volume limited earbuds","Protected hearing for children, colorful design.",1,250,29.99,"Electronics > Audio",
simple,AUD014,BoneConductor S,1,0,visible,"Bone conduction headphones","Hear your music and your surroundings.",1,75,159.99,"Electronics > Audio",
simple,AUD015,In-Ear Pro Monitor,1,0,visible,"Wired IEMs","Multi-driver setup for crisp detail.",1,45,199.99,"Electronics > Audio",
simple,AUD016,Party Speaker XL,1,0,visible,"High power speaker","Built-in lights and karaoke function.",1,20,449.99,"Electronics > Audio",
simple,AUD017,Wireless Adapter,1,0,visible,"Bluetooth receiver","Make any old speaker wireless.",1,300,39.99,"Electronics > Audio",
simple,AUD018,Classic Earphones,1,0,visible,"Simple wired buds","Reliable 3.5mm wired earphones.",1,500,14.99,"Electronics > Audio",
simple,AUD019,Smart Assistant Spk,1,0,visible,"Smart speaker","Voice control for your smart home.",1,110,89.99,"Electronics > Audio",
simple,AUD020,Hi-Res Player,1,0,visible,"DAP Audio player","Support for FLAC, DSD and MQA files.",1,15,599.99,"Electronics > Audio",
simple,ACC001,USB-C Dock Pro,1,0,visible,"11-in-1 docking station","Connect everything with one cable to your laptop.",1,100,129.99,"Electronics > Accessories",
simple,ACC002,Wireless Mouse M1,1,0,visible,"Ergonomic mouse","Silent clicks, adjustable DPI, long battery life.",1,200,49.99,"Electronics > Accessories",
simple,ACC003,MechKeyboard K3,1,0,visible,"Mechanical keyboard","RGB, Brown switches, hot-swappable.",1,80,109.99,"Electronics > Accessories",
simple,ACC004,PowerBank 20K,1,0,visible,"20000mAh power bank","Fast charging PD, charge multiple devices.",1,150,59.99,"Electronics > Accessories",
simple,ACC005,HDMI Cable 2.1,1,0,visible,"High speed HDMI","Supports 8K @ 60Hz and 4K @ 120Hz.",1,400,24.99,"Electronics > Accessories",
simple,ACC006,Laptop Stand Alu,1,0,visible,"Aluminum stand","Improve ergonomics and cooling for your laptop.",1,120,34.99,"Electronics > Accessories",
simple,ACC007,Webcam HD 4K,1,0,visible,"Ultra HD webcam","Autofocus, privacy cover, dual microphones.",1,70,89.99,"Electronics > Accessories",
simple,ACC008,External SSD 1TB,1,0,visible,"Portable NVMe SSD","Blazing fast transfer speeds, rugged case.",1,55,149.99,"Electronics > Accessories",
simple,ACC009,MicroSD 256GB,1,0,visible,"High speed memory card","U3, V30 rated for 4K video recording.",1,300,39.99,"Electronics > Accessories",
simple,ACC010,USB Flash Drive,1,0,visible,"128GB USB 3.2","Secure and fast portable storage.",1,500,19.99,"Electronics > Accessories",
simple,ACC011,Monitor Arm Pro,1,0,visible,"Gas spring mount","Adjustable arm for clean desk setup.",1,45,79.99,"Electronics > Accessories",
simple,ACC012,Mouse Pad XL,1,0,visible,"Extended mouse pad","Smooth cloth surface, stitched edges.",1,250,29.99,"Electronics > Accessories",
simple,ACC013,Cable Organizer,1,0,visible,"Desktop cable management","Keep your workspace tidy and clutter-free.",1,600,14.99,"Electronics > Accessories",
simple,ACC014,Screen Cleaner Kit,1,0,visible,"Display cleaning kit","Anti-static, alcohol-free, microfiber cloth.",1,400,12.99,"Electronics > Accessories",
simple,ACC015,Laptop Sleeve 14,1,0,visible,"Protective sleeve","Water resistant fabric, padded interior.",1,180,24.99,"Electronics > Accessories",
simple,ACC016,Bluetooth Dongle,1,0,visible,"USB BT 5.3 adapter","Add Bluetooth to your PC easily.",1,350,19.99,"Electronics > Accessories",
simple,ACC017,Cooling Pad 17,1,0,visible,"Laptop cooler","Quiet fans with blue LED lighting.",1,90,39.99,"Electronics > Accessories",
simple,ACC018,Universal Adapter,1,0,visible,"International travel plug","Works in over 150 countries.",1,150,29.99,"Electronics > Accessories",
simple,ACC019,Wrist Rest Set,1,0,visible,"Memory foam rest","Comfort for keyboard and mouse usage.",1,220,21.99,"Electronics > Accessories",
simple,ACC020,Webcam Stand,1,0,visible,"Adjustable tripod","Perfect height for meetings and streams.",1,140,17.99,"Electronics > Accessories"
